"Gene","Group_1","Group_2","Mock_expression","ZIKV_expression","log2FoldChange","pvalue","Original_significant_call","padj","Regulation"
"TTLL6","Mock","ZIKV",1.39502,0.586055,-1.25117,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"POLD3","Mock","ZIKV",13.5353,5.70749,-1.2458,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"ZNF589","Mock","ZIKV",11.1425,4.6987,-1.24574,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"ARMC3","Mock","ZIKV",1.9409,0.818868,-1.24502,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"EMID1","Mock","ZIKV",4.63012,1.95386,-1.24472,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"C5orf55","Mock","ZIKV",3.053,1.28859,-1.24444,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"TMEM109","Mock","ZIKV",13.9466,5.88754,-1.24418,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"TK1","Mock","ZIKV",15.6617,6.61271,-1.24393,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"DGCR9","Mock","ZIKV",2.62935,1.11031,-1.24375,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"GRAMD1C","Mock","ZIKV",2.11928,0.895657,-1.24256,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"TYMS","Mock","ZIKV",59.481,25.1547,-1.2416,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"KDM8","Mock","ZIKV",2.4543,1.03809,-1.24138,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"EGR1","Mock","ZIKV",616.45,261.459,-1.2374,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"LOC730101","Mock","ZIKV",12.9644,5.50236,-1.23643,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"DEPDC1B","Mock","ZIKV",19.265,8.18518,-1.2349,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
