feature,scores,log2FoldChange,pvalue,padj,symbol
ENSG00000114354,10.661059,0.67505586,1.5482434241497012e-26,7.219459086810057e-24,TFG
ENSG00000182154,-10.659515,-0.8096786,1.5741484722606875e-26,7.284221850379437e-24,MRPL41
ENSG00000242485,-10.635853,-0.76545745,2.0296265410519914e-26,9.320752370608385e-24,MRPL20
ENSG00000131469,-10.625565,-0.55343026,2.266355693954737e-26,1.0329640286604678e-23,RPL27
ENSG00000034510,-10.604474,-0.951899,2.840567063824908e-26,1.2850174241940456e-23,TMSB10
ENSG00000131174,-10.596244,-0.63304394,3.101894536260775e-26,1.3928425547673476e-23,COX7B
ENSG00000120129,10.595215,1.5244989,3.136192589813201e-26,1.3978886661903416e-23,DUSP1
ENSG00000146232,10.572581,2.3378713,3.9934912238753154e-26,1.767017843066407e-23,NFKBIE
ENSG00000100028,-10.564351,-0.6602368,4.35975095153302e-26,1.915099586456378e-23,SNRPD3
ENSG00000125347,10.55612,2.611173,4.759282220429983e-26,2.075560639713994e-23,IRF1
ENSG00000198918,-10.550976,-0.7703844,5.0272039836210556e-26,2.1767434163080342e-23,RPL39
ENSG00000105193,-10.528342,-0.49814764,6.395070888101331e-26,2.7493815756440754e-23,RPS16
ENSG00000189159,-10.507766,-1.0138123,7.95556616815554e-26,3.3961863770945114e-23,JPT1
ENSG00000135486,-10.503137,-0.71243435,8.355679226321409e-26,3.527050599263892e-23,HNRNPA1
ENSG00000023330,10.502879,1.255799,8.378483417641342e-26,3.527050599263892e-23,ALAS1
ENSG00000196262,-10.460956,-0.4617693,1.3053306767574262e-25,5.457092434093683e-23,PPIA
ENSG00000128228,10.38971,1.1631566,2.7619164483457934e-25,1.1467439259059838e-22,SDF2L1
ENSG00000115520,10.353444,1.27771,4.0369553409270494e-25,1.664736025929638e-22,COQ10B
ENSG00000132646,-10.3447,-1.5411069,4.423017953806209e-25,1.8116143604174228e-22,PCNA
ENSG00000085871,-10.341356,-0.91640675,4.580110326971645e-25,1.8633671671858665e-22,MGST2
ENSG00000154723,-10.334412,-0.664253,4.924260036663341e-25,1.9900247944166335e-22,ATP5PF
ENSG00000108826,-10.3282385,-0.8955165,5.251610110725044e-25,2.1082606178943141e-22,MRPL27
ENSG00000154781,10.29223,1.5098054,7.638639076104819e-25,3.046359619436829e-22,CCDC174
ENSG00000165264,-10.287858,-0.82762754,7.993505463363214e-25,3.167047762638004e-22,NDUFB6
ENSG00000143384,10.282456,1.9925951,8.454491735917024e-25,3.3279404840230784e-22,MCL1
ENSG00000182117,-10.279884,-0.62309116,8.683172669541442e-25,3.395904800354404e-22,NOP10
ENSG00000106399,-10.245934,-0.8912479,1.2342749581887727e-24,4.796186775028539e-22,RPA3
ENSG00000177410,10.231016,0.85837483,1.4400090032762304e-24,5.559993998063809e-22,ZFAS1
