feature,scores,log2FoldChange,pvalue,padj,symbol
ENSG00000130726,-8.296209,-0.56201494,1.0748597467179635e-16,5.665819390112716e-14,TRIM28
ENSG00000197451,-8.294704,-0.53927344,1.0885508169479696e-16,5.688522583842152e-14,HNRNPAB
ENSG00000088832,-8.2876835,-0.32782868,1.1547504142163975e-16,5.982890201656735e-14,FKBP1A
ENSG00000175130,-8.282368,-0.62165236,1.2074989986670512e-16,6.20316794916932e-14,MARCKSL1
ENSG00000117419,-8.268426,-0.7081558,1.3573910235456048e-16,6.914595500530337e-14,ERI3
ENSG00000071082,8.254785,0.34943563,1.5217586156369894e-16,7.687290460108222e-14,RPL31
ENSG00000179912,8.253381,0.86945724,1.5397539454651035e-16,7.713912761995795e-14,R3HDM2
ENSG00000144713,8.223992,0.27925006,1.9683824549790633e-16,9.780440658883265e-14,RPL32
ENSG00000248498,8.214664,2.6620393,2.1275809094919225e-16,1.0485514402641533e-13,ASNSP1
ENSG00000198712,8.208647,0.27704075,2.2369571160484314e-16,1.0935653501430635e-13,MT-CO2
ENSG00000144674,8.186279,0.6117028,2.694259111538893e-16,1.3065863446590092e-13,GOLGA4
ENSG00000103018,-8.159499,-0.55002624,3.3641718354642297e-16,1.6185137499524298e-13,CYB5B
ENSG00000130766,8.15338,1.6871566,3.538896826935266e-16,1.6891683996219598e-13,SESN2
ENSG00000172270,-8.140442,-0.51708245,3.9383832150695937e-16,1.865162907142998e-13,BSG
ENSG00000135486,-8.136831,-0.3694105,4.057588357721324e-16,1.90672053222255e-13,HNRNPA1
ENSG00000106105,8.097312,0.7860037,5.618672726795046e-16,2.6199870925045303e-13,GARS1
ENSG00000164032,-8.085777,-0.44423747,6.176880893065415e-16,2.858292693562843e-13,H2AZ1
ENSG00000102401,8.081765,1.2360888,6.383573594824012e-16,2.931559452610885e-13,ARMCX3
ENSG00000111678,8.060401,0.67600435,7.604431888665849e-16,3.4659628320228204e-13,C12orf57
