"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","PlotGene","Regulation","minusLog10Padj"
"6812",30.1679606336914,-1.44451155222031,0.259284107793182,-5.57115345215269,2.53058312067006e-08,6.91824008008866e-07,"6812","Down",6.16000437096454
"9143",17.4771827164183,-1.88916857143113,0.339470975515648,-5.56503709503156,2.62096649593582e-08,7.15142159240585e-07,"9143","Down",6.14560761856682
"3815",19.9642892187589,-1.54248803990473,0.278484240100939,-5.5388701326353,3.04429278950634e-08,8.04105305980134e-07,"3815","Down",6.09468707213302
"57732",318.948840002891,-1.30609139614613,0.236081962240368,-5.53236419992274,3.15943033367286e-08,8.25210316891656e-07,"57732","Down",6.08343535105624
"11346",227.20677099701,-1.82306878022306,0.330469891521915,-5.51659569296093,3.45629328327482e-08,8.92029751467666e-07,"11346","Down",6.04962066055352
"91584",95.8775577206297,-1.67553771808554,0.303852559622272,-5.51431167856032,3.50147604801505e-08,8.96224798300682e-07,"91584","Down",6.04758304344446
"57595",393.776073562993,-1.81229055646652,0.329469914694757,-5.50062532460832,3.78446643775874e-08,9.53034451315159e-07,"57595","Down",6.02089139973352
"23174",319.962433205946,-1.10844044327184,0.201639723545497,-5.49713332165792,3.86014862490294e-08,9.6862157994886e-07,"23174","Down",6.01384585952207
"864",8697.73010191999,-1.21527834612282,0.221074878752003,-5.49713451380466,3.86012253875588e-08,9.6862157994886e-07,"864","Down",6.01384585952207
"50489",4.02298940363415,-3.0047885527161,0.547408779944206,-5.48911282172414,4.03957551059573e-08,1.00467460309542e-06,"50489","Down",5.99797457601749
"57562",48.234460298593,-1.43439895568086,0.261315405029223,-5.48914808723372,4.03876916031437e-08,1.00467460309542e-06,"57562","Down",5.99797457601749
"57571",240.251761258571,-1.38397760053735,0.252340844003471,-5.48455643795147,4.14508139387684e-08,1.02727837295868e-06,"57571","Down",5.98831185488554
"283420",14.2198362487389,-2.44271340190105,0.445837558119163,-5.47893141216282,4.27902180283679e-08,1.05111159022422e-06,"283420","Down",5.97835117507927
"66004",63.7477550753374,-2.2318214773147,0.407693205407374,-5.47426704127833,4.39326152829294e-08,1.06806420407565e-06,"66004","Down",5.97140263996881
"55672",138.194243398455,-1.02155373944192,0.186822956070128,-5.46803112920694,4.5506197645072e-08,1.10060772686498e-06,"55672","Down",5.95836744253064
"10811",44.4321067019785,-1.3541601129981,0.247800924785258,-5.46470968246628,4.63665013794148e-08,1.11374714082656e-06,"10811","Down",5.95321339785953
"259197",334.868884576762,-1.52102396951302,0.278958633116163,-5.45250724998942,4.96645467331867e-08,1.17886184238976e-06,"259197","Down",5.92853708939478
"284129",278.176053325585,-1.25115885473685,0.229821501130889,-5.44404613397893,5.20837212908488e-08,1.23212197235523e-06,"284129","Down",5.90934629761089
"5990",190.270210405895,-2.10346253059394,0.386849891664733,-5.43741274307225,5.40598097277519e-08,1.27457793002411e-06,"5990","Down",5.89463360582456
"155066",612.736043801147,-1.04821419716682,0.193838679364593,-5.4076627048992,6.38525286356605e-08,1.48552273574222e-06,"155066","Down",5.82812069698598
"29800",39.207045867554,-2.19682601556473,0.406797411203462,-5.40029497499917,6.65314091335566e-08,1.5421326866439e-06,"29800","Down",5.81187825754438
"642273",12.7622200548654,-2.32764976274174,0.432577535374592,-5.38088451756078,7.41207344296034e-08,1.69356839057689e-06,"642273","Down",5.77119726075514
"51673",187.723863346965,-2.44205889223417,0.453967609075552,-5.37936813863684,7.47477194907389e-08,1.70512167903225e-06,"51673","Down",5.76824462391682
"25927",6.73171812086124,-2.02340878890833,0.37765267577619,-5.35785635504796,8.42151516618741e-08,1.89342609784425e-06,"25927","Down",5.72275164112398
"375704",39.9246970883856,-2.11503847461068,0.395346606542036,-5.3498333857225,8.80352438040073e-08,1.96598365795743e-06,"375704","Down",5.70642009651833
"60468",563.338249129407,-1.20369042968937,0.225005086920885,-5.3496142961097,8.81418804805852e-08,1.96598365795743e-06,"60468","Down",5.70642009651833
"6196",107.073755801809,-1.14130616522749,0.213600855298696,-5.3431722622623,9.13338899906874e-08,2.01591803424032e-06,"6196","Down",5.69552712996501
