"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","PlotGene","Regulation","minusLog10Padj"
"83540",102.872831658923,3.75383155530028,0.467830318112215,8.02391681336026,1.02425677572917e-15,2.28458035119782e-13,"83540","Up",12.6411935627262
"10721",138.275867881429,3.63640013336749,0.454877810881989,7.99423503713375,1.30380827183805e-15,2.86267403685441e-13,"10721","Up",12.5432281008275
"995",31.0488361352664,4.14294823938532,0.520491012665764,7.95969217252504,1.72467811458073e-15,3.728488748629e-13,"995","Up",12.4284671631314
"1267",1642.05148499916,1.50820441558132,0.189750489239164,7.94835587317177,1.89003056596118e-15,4.02404689589188e-13,"1267","Up",12.3953369666926
"10615",382.332442807985,3.4182803499825,0.430333499772105,7.94332849241982,1.96826779460386e-15,4.12807448504081e-13,"10615","Up",12.3842524751041
"6790",216.094508258915,3.04832365291253,0.383863570155364,7.94116423102811,2.00292264393333e-15,4.13898073419869e-13,"6790","Up",12.3831065951143
"2305",633.864143266724,3.50473335270669,0.442740662603984,7.91599608694978,2.45281331605126e-15,4.995207640167e-13,"2305","Up",12.301446454364
"51237",6117.41797329826,5.1407295245579,0.649651305063515,7.91305964367346,2.51138964087297e-15,5.04143531907815e-13,"51237","Up",12.2974458003776
"11130",357.853504650816,3.7059560218666,0.468954913664104,7.90258490504068,2.73178131253395e-15,5.40661845122916e-13,"11130","Up",12.2670742778023
"54443",120.042679657574,3.68416873649537,0.466453648923999,7.89825258092395,2.82840549640235e-15,5.52010472714525e-13,"54443","Up",12.2580526827799
"1062",215.057776755882,3.48369393883236,0.441885343087484,7.88370556599943,3.17812647673257e-15,6.07614318675921e-13,"1062","Up",12.2163720003644
"11065",211.147315936789,3.49228562380572,0.443022828383232,7.88285704497548,3.19979074736822e-15,6.07614318675921e-13,"11065","Up",12.2163720003644
"4751",74.6644745723961,3.60972293722677,0.458135543923811,7.87915931235205,3.29591048957436e-15,6.12268822833304e-13,"4751","Up",12.2130578545871
"6491",226.623069700328,3.16947359760633,0.402369926230589,7.87701413795519,3.35296986382348e-15,6.12268822833304e-13,"6491","Up",12.2130578545871
"8820",67.803713410572,4.35233023555536,0.552540888627256,7.87693784322166,3.35501703374356e-15,6.12268822833304e-13,"8820","Up",12.2130578545871
"22936",3429.45104950224,3.62798136411216,0.461328767650485,7.86419928371087,3.71465788452465e-15,6.69209905042825e-13,"22936","Up",12.174437639626
"7272",128.507698583187,3.77237299987788,0.480768362579246,7.84655000932196,4.27638269891764e-15,7.60654806141654e-13,"7272","Up",12.1188123863299
"9837",112.289187587178,3.66273097469951,0.46713100915395,7.84090737485681,4.47302306294809e-15,7.85686501006832e-13,"9837","Up",12.1047507084672
"4288",2490.37629205307,3.45182971274343,0.441076060536026,7.82592849983408,5.03923692972082e-15,8.74214288104159e-13,"4288","Up",12.0583820997063
"10112",103.830876577421,3.63606815382782,0.467026814573653,7.78556613959558,6.94017258831843e-15,1.18930860013476e-12,"10112","Up",11.9247054406327
"122509",102.427206093078,3.26775608770703,0.420327663638769,7.77430650035767,7.58618549580502e-15,1.28435034442231e-12,"122509","Up",11.8913164934826
"146909",132.042975135613,3.18756871959905,0.41172341687474,7.74201463641505,9.78537215019379e-15,1.6369529696967e-12,"146909","Up",11.7859637978603
"220134",176.974053318464,3.29061656160281,0.425491623906538,7.73368117424002,1.04480502085475e-14,1.72724707682952e-12,"220134","Up",11.7626455336378
"2621",462.474021697361,2.52969460191715,0.327528030818758,7.72359726156382,1.13091781918217e-14,1.84786711571487e-12,"2621","Up",11.7333292630871
"1058",66.7839986345034,4.21349729081393,0.545672644050413,7.72165754826562,1.1482655602874e-14,1.85464685668489e-12,"1058","Up",11.731738772191
"4145",833.249117865287,-2.0725156756122,0.268652882363003,-7.71447399850275,1.21482197250545e-14,1.93984981336893e-12,"4145","Down",11.7122318926213
"54536",398.668015395769,0.957280680728887,0.124220956757699,7.70627360885752,1.29544733656443e-14,2.04535123296668e-12,"54536","Not significant",11.6892321030887
"993",130.235530692093,4.02097778618009,0.522876611182573,7.69010833566637,1.47010492453199e-14,2.29532382216927e-12,"993","Up",11.6391560359391
"23268",247.146454946017,-1.02703486469854,0.133592818943789,-7.68779993429641,1.49686631637594e-14,2.31142477777085e-12,"23268","Down",11.6361202355292
"9212",227.174211970364,3.51535905603516,0.458073561036796,7.67422386936841,1.66423209306471e-14,2.54193362736362e-12,"9212","Up",11.5948357935326
"150468",119.570496175158,3.45663589096071,0.45099759408181,7.66442201980722,1.79638310250457e-14,2.71427692004239e-12,"150468","Up",11.566345846171
"5347",565.634561934261,3.62471110263305,0.473760686990059,7.65093263787231,1.99526849447088e-14,2.98271413662817e-12,"5347","Up",11.5253883674338
"1063",320.566545089011,3.03660806452242,0.397585318334893,7.63762625149208,2.21263037590227e-14,3.27282968865038e-12,"1063","Up",11.4850765938988
"4998",183.402308389006,3.41862734660889,0.449193513727992,7.61058929421458,2.72848981264256e-14,3.99382696325555e-12,"4998","Up",11.3986107553219
"1033",134.073992198948,3.3251062819102,0.438066453667264,7.5904152305527,3.18881947670389e-14,4.61951456563331e-12,"1033","Up",11.3354036591935
"608",765.421265856693,4.40112904786423,0.580214362921976,7.58535005183259,3.31590602822574e-14,4.75460321516613e-12,"608","Up",11.3228857202942
"57082",215.369342025884,3.17760227811222,0.419611756750241,7.57271984636877,3.65489951595775e-14,5.18774222204428e-12,"57082","Up",11.2850216120647
"51514",346.000453395388,3.69582514747527,0.488522764387688,7.56530793832627,3.86946844724637e-14,5.4373770620706e-12,"51514","Up",11.2646105492314
"10797",1005.58104946942,1.85067759041723,0.244865270603793,7.55794231600832,4.09495560302983e-14,5.69725902314605e-12,"10797","Up",11.2443340351044
"81624",83.3515336561142,3.37373716912924,0.447080135776381,7.54615761058259,4.48287492602272e-14,6.17581945690895e-12,"81624","Up",11.2093054085943
"9768",220.926056540834,3.54963531174169,0.470974919456346,7.53678203467625,4.81710481218418e-14,6.57184046804001e-12,"9768","Up",11.1823129876428
"494143",122.404822057735,3.68644117507869,0.489623881088545,7.52912861783395,5.10800500223804e-14,6.83597012299513e-12,"494143","Up",11.1651998440564
"728763",15.9071065908313,-3.96880337339025,0.527058536960668,-7.53009978033318,5.07015633860911e-14,6.83597012299513e-12,"728763","Down",11.1651998440564
"7298",679.679238161746,3.55601242340037,0.474195779542522,7.49903853389631,6.42876285309983e-14,8.52235618978857e-12,"7298","Up",11.0694403185248
"23397",270.876164735511,3.23590162636479,0.433669078761415,7.46168400017524,8.5423561555103e-14,1.12184288502085e-11,"23397","Up",10.9500679621051
"7083",436.731070379652,3.47926007404824,0.467143816764594,7.44794204522573,9.48074487493927e-14,1.23355024983932e-11,"7083","Up",10.9088431544163
"221150",160.468288027311,3.91100575090905,0.526039304152456,7.4348166002736,1.04713141680569e-13,1.34993492375721e-11,"221150","Up",10.8696871670119
