"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"ENSG00000103966","OK",0.00045581058224743,3.31647079028875,0.0208413151905502,"ENSG00000103966",0.00114358686034666
"ENSG00000166126","OK",0.00045842256055831,3.31487378296351,0.0199282181656882,"ENSG00000166126",0.00114993722730526
"ENSG00000175826","OK",0.000458609095983685,3.31476005491929,0.0205181492356905,"ENSG00000175826",0.00115020228745829
"ENSG00000196943","OK",0.000462430683611823,3.31243947143495,0.0180435094466026,"ENSG00000196943",0.00115958244235031
"ENSG00000244062","OK",0.000463062372623702,3.31205760321185,0.0180410950170573,"ENSG00000244062",0.00116096177081384
"ENSG00000141034","OK",0.000463388846395911,3.31186043265566,0.0180405263113017,"ENSG00000141034",0.00116157553089338
"ENSG00000109736","OK",0.00046387797258848,3.31156527054223,0.0208687605068169,"ENSG00000109736",0.001162596723194
"ENSG00000224417","OK",0.000466208005098002,3.31016316426279,0.0180309958465938,"ENSG00000224417",0.00116823052440255
"ENSG00000228956","OK",0.00046646324332036,3.31000996842366,0.0201678588924147,"ENSG00000228956",0.00116866420816373
"ENSG00000162377","OK",0.000468259167150026,3.30893423237482,0.0208100564268432,"ENSG00000162377",0.0011729570507881
"ENSG00000180953","OK",0.00046956148084729,3.30815655089102,0.0205902285594997,"ENSG00000180953",0.00117601213982937
"ENSG00000253958","OK",0.000470564091970501,3.30755919804875,0.0202753912177421,"ENSG00000253958",0.00117831568311557
"ENSG00000234028","OK",0.000470656283140543,3.30750433002166,0.0180160977675347,"ENSG00000234028",0.00117833908028656
"ENSG00000065413","OK",0.000470979260222358,3.30731218713435,0.0180130228345829,"ENSG00000065413",0.00117894016510781
"ENSG00000048707","OK",0.000472198511557514,3.30658793854727,0.02026932133212,"ENSG00000048707",0.00118178416855226
"ENSG00000147174","OK",0.000472665649267151,3.30631091258732,0.0180093630696997,"ENSG00000147174",0.00118274516705255
"ENSG00000100564","OK",0.000473612179568285,3.30575036989457,0.0208010125211985,"ENSG00000100564",0.0011849051943711
"ENSG00000113838","OK",0.000474282564898811,3.30535398984846,0.0207647655501724,"ENSG00000113838",0.00118637371096655
"ENSG00000152229","OK",0.000474648547943175,3.30513781328975,0.0180029327249601,"ENSG00000152229",0.00118708041100682
"ENSG00000139211","OK",0.000475723966058058,3.30450348434681,0.020694947721187,"ENSG00000139211",0.00118956082440994
"ENSG00000155961","OK",0.000479110627891679,3.30251452369566,0.0198522676295679,"ENSG00000155961",0.0011978186782393
"ENSG00000041802","OK",0.00048010402797335,3.30193357732944,0.0208160250619941,"ENSG00000041802",0.00120009131632073
"ENSG00000161091","OK",0.000481148568119007,3.30132392349034,0.0179811841195775,"ENSG00000161091",0.00120249096544661
"ENSG00000110719","OK",0.00048217486927941,3.30072610768126,0.0206556447721594,"ENSG00000110719",0.00120483448104805
"ENSG00000240849","OK",0.000482255691528266,3.30067907915576,0.0206171644121525,"ENSG00000240849",0.00120483448104805
"ENSG00000167123","OK",0.000483553405006805,3.29992496868024,0.0179736688931727,"ENSG00000167123",0.00120786443263291
"ENSG00000162390","OK",0.000484630385172002,3.29930054973217,0.0192437966952939,"ENSG00000162390",0.00121034204886767
"ENSG00000157191","OK",0.000486634292757882,3.29814212279496,0.0207708895335076,"ENSG00000157191",0.00121513334724287
"ENSG00000158104","OK",0.000486863951571467,3.29800964297919,0.0179629529403506,"ENSG00000158104",0.00121549341463945
"ENSG00000163362","OK",0.000487343791490152,3.29773303163068,0.01796115234292,"ENSG00000163362",0.0012164778424648
"ENSG00000236830","OK",0.00048756578578104,3.29760514481503,0.017960736349801,"ENSG00000236830",0.00121681841922508
"ENSG00000137478","OK",0.000487688394782225,3.29753453514411,0.0179602058931401,"ENSG00000137478",0.00121685918124808
"ENSG00000140939","OK",0.000487753230140989,3.29749720355645,0.0203225359067865,"ENSG00000140939",0.00121685918124808
"ENSG00000172375","OK",0.000492428101754999,3.29481749340617,0.0179449424170032,"ENSG00000172375",0.00122830671540887
"ENSG00000068654","OK",0.000494285126863639,3.29375954979981,0.0206156236546769,"ENSG00000068654",0.00123272266515545
"ENSG00000140093","OK",0.00049496830752488,3.29337126888647,0.0179362589141308,"ENSG00000140093",0.00123421006976269
"ENSG00000133619","OK",0.000495289379626368,3.29318896118777,0.0179348336315461,"ENSG00000133619",0.00123479418868113
"ENSG00000197858","OK",0.000498456736933276,3.29139634702601,0.0207284745812444,"ENSG00000197858",0.00124247286530003
"ENSG00000221963","OK",0.000498810132406001,3.29119699188342,0.0179237878439516,"ENSG00000221963",0.00124313588806913
"ENSG00000163050","OK",0.000500163113169437,3.29043496386326,0.0207069342673958,"ENSG00000163050",0.00124628941110878
"ENSG00000149257","OK",0.000501678023178863,3.28958399506616,0.0203914528700004,"ENSG00000149257",0.00124984524849763
"ENSG00000159445","OK",0.000502595539320467,3.2890697556407,0.0207269613578808,"ENSG00000159445",0.0012519117961042
