miRTarBase ID,miRNA,Species (miRNA),Target Gene,Target Gene (Entrez ID),Species (Target Gene),Experiments,Support Type,References (PMID)
MIRT1313695,hsa-miR-140-3p,hsa,RNF7,9616.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2317918,hsa-miR-654-5p,hsa,RNF7,9616.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1313680,hsa-miR-658,hsa,RNF7,9616.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2613709,hsa-miR-3120-5p,hsa,RNLS,55328.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1314484,hsa-miR-654-5p,hsa,RNPS1,10921.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2613851,hsa-miR-4511,hsa,ROBO1,6091.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1314538,hsa-miR-4677-5p,hsa,ROBO1,6091.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2318322,hsa-miR-3135b,hsa,RPA2,6118.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2614201,hsa-miR-491-5p,hsa,RPE,6120.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2614217,hsa-miR-654-5p,hsa,RPE,6120.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2093952,hsa-miR-324-3p,hsa,RPL13A,23521.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2614274,hsa-miR-28-5p,hsa,RPL15,6138.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1316144,hsa-miR-885-5p,hsa,RPL15,6138.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2689930,hsa-miR-2355-5p,hsa,RPL22,6146.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2094051,hsa-miR-3135b,hsa,RPL27A,6157.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2614333,hsa-miR-654-5p,hsa,RPL27A,6157.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1316789,hsa-miR-3135b,hsa,RPL36A,6173.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1316956,hsa-miR-3125,hsa,RPL39,6170.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1317030,hsa-miR-324-3p,hsa,RPL7L1,285855.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2614348,hsa-miR-4511,hsa,RPL7L1,285855.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2614465,hsa-miR-4498,hsa,RPP14,11102.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2614547,hsa-miR-28-5p,hsa,RPRD1A,55197.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2458574,hsa-miR-324-3p,hsa,RPRD1A,55197.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2689989,hsa-miR-4498,hsa,RPS10-NUDT3,100529239.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2689997,hsa-miR-491-5p,hsa,RPS10-NUDT3,100529239.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2614628,hsa-miR-324-3p,hsa,RPS19BP1,91582.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2614637,hsa-miR-3135b,hsa,RPS23,6228.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2614672,hsa-miR-2355-5p,hsa,RPS27A,6233.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1318106,hsa-miR-361-3p,hsa,RPS6KA2,6196.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2690027,hsa-miR-4746-5p,hsa,RPS6KA2,6196.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1318167,hsa-miR-3135b,hsa,RPS6KA3,6197.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1318219,hsa-miR-4470,hsa,RPS6KA3,6197.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1318271,hsa-miR-491-5p,hsa,RPS6KA3,6197.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2614780,hsa-miR-4498,hsa,RPS6KB1,6198.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2094769,hsa-miR-4677-5p,hsa,RPS6KB1,6198.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1318902,hsa-miR-4677-5p,hsa,RPS6KC1,26750.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2614850,hsa-miR-2355-5p,hsa,RPUSD4,84881.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2615007,hsa-miR-2355-5p,hsa,RREB1,6239.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1319609,hsa-miR-885-5p,hsa,RREB1,6239.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2615042,hsa-miR-140-3p,hsa,RRM2B,50484.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1319964,hsa-miR-361-3p,hsa,RRM2B,50484.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1319986,hsa-miR-4511,hsa,RRM2B,50484.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1320063,hsa-miR-3125,hsa,RRN3,54700.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2095089,hsa-miR-409-3p,hsa,RRP15,51018.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1320667,hsa-miR-3135b,hsa,RRP7A,27341.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2615295,hsa-miR-140-3p,hsa,RSAD2,91543.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1320891,hsa-miR-3135b,hsa,RSAD2,91543.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2615387,hsa-miR-4498,hsa,RSAD2,91543.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2615402,hsa-miR-4677-5p,hsa,RSAD2,91543.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2095362,hsa-miR-2355-3p,hsa,RSL1D1,26156.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1321253,hsa-miR-3135b,hsa,RSL1D1,26156.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2319767,hsa-miR-2355-5p,hsa,RSL24D1,51187.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1321539,hsa-miR-3135b,hsa,RSU1,6251.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2615759,hsa-miR-491-5p,hsa,RSU1,6251.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1321677,hsa-miR-3125,hsa,RTF1,23168.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1322074,hsa-miR-654-5p,hsa,RTN3,10313.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1322112,hsa-miR-491-5p,hsa,RTN4,57142.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2616060,hsa-miR-4498,hsa,RUNX1,861.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2616078,hsa-miR-140-3p,hsa,RUNX1T1,862.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1322875,hsa-miR-3125,hsa,RUNX1T1,862.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2616096,hsa-miR-361-3p,hsa,RUNX1T1,862.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1322875,hsa-miR-3125,hsa,RUNX1T1,862.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1323192,hsa-miR-491-5p,hsa,RUVBL1,8607.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2616279,hsa-miR-4470,hsa,RWDD3,25950.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1323603,hsa-miR-409-3p,hsa,RYBP,23429.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1323870,hsa-miR-4498,hsa,S100A11,6282.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1323888,hsa-miR-654-5p,hsa,S100A11,6282.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1323972,hsa-miR-2355-5p,hsa,S100A16,140576.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1323982,hsa-miR-3125,hsa,S100A16,140576.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1323995,hsa-miR-361-3p,hsa,S100A16,140576.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2616384,hsa-miR-4470,hsa,S100PBP,64766.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1324318,hsa-miR-654-5p,hsa,S100PBP,64766.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1324350,hsa-miR-2355-5p,hsa,S1PR2,9294.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2616520,hsa-miR-361-3p,hsa,S1PR2,9294.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2616544,hsa-miR-885-5p,hsa,S1PR2,9294.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2690122,hsa-miR-2355-3p,hsa,S1PR3,1903.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1324447,hsa-miR-3135b,hsa,S1PR3,1903.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2690128,hsa-miR-324-3p,hsa,S1PR3,1903.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1324492,hsa-miR-4498,hsa,S1PR3,1903.0,hsa,CLIP-seq,Functional MTI (Weak),
