SYM,lfc,padj,dir
AC004837.3,0.00573454422566283,1.0,ns
AC004837.4,0.08256119001760552,0.47162032946092114,ns
AC004837.5,0.0,1.0,ns
AC004840.8,0.08178099720918475,0.05464144563259947,ns
AC004854.5,0.1125587554743616,0.609038867302918,ns
AC004862.6,0.0,1.0,ns
AC004866.3,0.0,1.0,ns
AC004869.2,0.0,1.0,ns
AC004869.3,0.0,1.0,ns
AC004870.3,0.0,1.0,ns
AC004870.4,0.0,1.0,ns
AC004870.5,0.0,1.0,ns
AC004878.2,0.0,1.0,ns
AC004878.8,0.0,1.0,ns
AC004893.10,0.09414156254778545,0.1968546807410965,ns
AC004893.11,-0.14382770110204623,0.32989218600439973,ns
AC004895.4,0.018144510030974604,0.6548998822125052,ns
AC004899.3,-0.002170611436102197,1.0,ns
AC004901.1,0.0,1.0,ns
AC004906.3,0.0,1.0,ns
AC004911.2,0.0,1.0,ns
AC004920.3,0.009604015798405448,0.6208111571386364,ns
AC004938.5,0.03028400720973543,0.6548998822125052,ns
AC004941.3,0.0,1.0,ns
AC004945.1,-0.00995530408177951,0.643237952311302,ns
AC004947.2,0.017449114155698293,0.2634882817482408,ns
AC004951.5,0.08753266948092187,0.9518241630291744,ns
AC004951.6,0.05742659729854427,0.6431249297781559,ns
AC004967.7,0.36607632956580816,0.032376638208924356,ns
AC004980.10,0.0,1.0,ns
AC004980.7,0.6861979999657148,0.1336091668524406,ns
AC004980.8,0.026541352482225757,0.6208111571386364,ns
AC004980.9,0.010781274789843654,0.6208111571386364,ns
AC004985.12,0.033380401351312705,1.0,ns
AC004987.10,0.0,1.0,ns
AC004987.9,-0.27709403453033987,0.3080322262084679,ns
AC004988.1,0.39204858893615,0.1545792727268725,ns
AC005008.2,0.0,1.0,ns
AC005008.3,0.0,1.0,ns
AC005009.1,0.0,1.0,ns
AC005009.2,-0.01345203872306351,0.6431249297781559,ns
AC005013.5,0.0,1.0,ns
AC005014.5,-0.13417218487646387,0.41149194369742165,ns
AC005017.2,-0.029579411209472235,0.6606099801261158,ns
AC005019.2,0.025994947461344176,0.4450260275076168,ns
AC005019.3,0.0,1.0,ns
AC005033.6,0.0,1.0,ns
AC005034.2,0.0,1.0,ns
AC005037.3,-0.07094625600721133,0.6866361583013398,ns
AC005040.3,0.0,1.0,ns
AC005041.11,0.0,1.0,ns
AC005042.2,-0.09326231560414835,0.6627733508969452,ns
AC005042.5,0.0,1.0,ns
AC005062.2,0.09538432340623859,0.6962416092756708,ns
AC005076.5,0.20045431281637657,0.1929387290071204,ns
AC005077.14,-0.00382336014572914,0.6665912739475811,ns
AC005077.5,0.0,1.0,ns
