entrez,lfc,padj,SYM,dir
100505549,-0.30245597568025406,0.07391581781074624,ATP8B1-AS1,ns
100505573,-0.7647575372665827,0.014490275798500507,INAFM2,down
100505591,-0.5313879954320386,0.0051588927524867795,LRRC3C,ns
100505741,0.24479018023972898,0.18003284687015658,SPATA1,ns
100505767,-0.30962061788227935,0.0380740432068974,SPDYE18,ns
100505876,-0.35223938098348384,0.002076590658642945,CEBPZOS,ns
100506084,-0.006999062328953087,0.983481104492729,ARL17B,ns
100506115,-1.1926803211154162,0.03617543046182255,PELATON,down
100506127,-0.24423132009553683,0.2827602396583995,GVQW3,ns
100506144,-0.11335830063393182,0.5625871385292751,TMEM35B,ns
100506248,0.10621638815892531,0.7554765351448228,PTMAP9,ns
100506581,0.500276972336092,0.011809262424720048,C16ORF95,ns
100506658,-0.48606873855303157,0.2667340765563066,OCLN,ns
100506736,-0.06680483877720178,0.8261592769875976,SLFN12L,ns
100507050,-0.974840377926296,0.000653439489636798,TPBGL,down
100507290,-0.7664211538234831,0.028996179296600273,ZNF865,down
100507436,-0.13882813868977895,0.578904802870941,MICA,ns
100507462,0.3475949257798634,0.04065683011306355,CCDC28A-AS1,ns
100507507,-0.3499461986366592,0.2558717222072603,FAM131B-AS2,ns
100507588,-0.21212874991905206,0.16797928677654209,TGFBR3L,ns
100507607,0.48324550764557817,0.037857831458128974,NPIPB9,ns
100507747,-0.22203446508260605,0.4387021977588973,C13ORF46,ns
10051,1.4913140204710515,0.0003472247432359509,SMC4,up
100526664,0.5739222324156135,0.4328383429142173,LY75-CD302,ns
100526693,-0.5791466824660887,0.17310871981824735,ARPC4-TTLL3,ns
100526694,-0.21684886371581502,0.08528104285483395,MSANTD3-TMEFF1,ns
100526737,-0.17498238092364904,0.5296857592352904,RBM14-RBM4,ns
100526739,0.4412683216190274,0.010555841502200814,CENPS-CORT,ns
100526740,0.8361354029285266,0.11082544721712666,ATP5MF-PTCD1,ns
100526767,-0.10679063413577694,0.8607343753635796,RNF103-CHMP3,ns
100526771,-0.682269690157927,0.024747242826236377,SMIM35,down
100526772,0.8817386972097969,0.019888703297940145,STIMATE-MUSTN1,up
100526783,-0.5782226462376236,0.2877730558605733,ARPIN-AP3S2,ns
100526832,-0.24522581760735118,0.5367534712667266,PHOSPHO2-KLHL23,ns
100526842,-0.32818447657542915,0.29457732671406883,RPL17-C18ORF32,ns
100527943,-0.0374261413216459,0.9381077600351387,TGIF2-RAB5IF,ns
100527949,0.6306212614467466,0.34796755890020287,GIMAP1-GIMAP5,ns
100527963,0.2859081616981376,0.19895430313676687,PMF1-BGLAP,ns
100528021,-0.1538913679647802,0.6933616118534162,ST20-MTHFS,ns
100528030,0.3762453932188432,0.504441342711972,POC1B-GALNT4,ns
100528032,-0.8830176499495632,0.07201445746160166,KLRC4-KLRK1,ns
100528062,-0.2653659996025608,0.14686136530421048,ARMCX5-GPRASP2,ns
100528064,0.08175104084966645,0.7848201579200568,NEDD8-MDP1,ns
100529063,0.015152657468936681,0.978084995329762,BCL2L2-PABPN1,ns
100529097,-0.4140585489394599,0.11062171626272492,RPL36A-HNRNPH2,ns
100529144,-0.3356416624356857,0.4884758434838384,CORO7-PAM16,ns
100529239,0.5880162693526758,0.09977301160192895,RPS10-NUDT3,ns
100529240,-0.019914700319257683,0.9227477887980828,ZNF816-ZNF321P,ns
100529251,-0.5400193008177352,0.0725945331208283,CKLF-CMTM1,ns
100529261,1.2293944093635378,0.04578317931438129,CHURC1-FNTB,up
10053,-0.5319607030843798,0.061001866476925105,AP1M2,ns
100532726,3.1763292856734955,1.5164391865110767e-06,NDUFC2-KCTD14,up
100532731,0.3957530121139774,0.6423638266458503,COMMD3-BMI1,ns
100532736,0.0626845333167525,0.8661184638082781,MICOS10-NBL1,ns
100533105,-0.07727241423353881,0.8218589696283465,C8ORF44-SGK3,ns
100533106,0.013841217563732577,0.9523946132890607,ZHX1-C8ORF76,ns
100533467,-0.6465162147724017,0.11826879148976174,BIVM-ERCC5,ns
100533496,0.7937445142539801,0.1189097367460706,TVP23C-CDRT4,ns
100534012,-0.7689563065692768,0.022528530933458562,TNFAIP8L2-SCNM1,down
100534599,0.04399961330174129,0.741005757482746,ISY1-RAB43,ns
10054,0.16141022380277548,0.4292109816641948,UBA2,ns
10055,0.32688152720032093,0.07675649206697933,SAE1,ns
10056,0.8377893309224493,0.004013790293094106,FARSB,up
10057,-0.7142343576062977,0.0064709755485597605,ABCC5,down
10058,1.1102916681226835,0.00023409910593061813,ABCB6,up
10059,0.2843123833539689,0.02724285014785741,DNM1L,ns
10060,0.2007521018152829,0.6339389073527335,ABCC9,ns
10061,0.48465902670468175,0.0029408853765619546,ABCF2,ns
10062,0.45143088215977123,0.04841484988235472,NR1H3,ns
10063,0.8424715725158212,0.0001655011581847512,COX17,up
100652748,-0.02968346762665508,0.866574941599992,TIMM23B,ns
100652777,-0.32907468695861564,0.046162901998988794,LOC100652777,ns
100653133,-0.039168345315361286,0.8966653268503141,LOC100653133,ns
100653515,0.21838910636801945,0.16835845858863938,CEP295NL,ns
10066,-0.05364782710333138,0.7849860685548984,SCAMP2,ns
10067,0.3425779215620608,0.09418315352897358,SCAMP3,ns
10068,-0.7908952238891072,0.0037709106841434937,IL18BP,down
10069,0.6178515270651435,0.0007251153006939048,RWDD2B,up
10072,0.756903242907276,0.00030045790690146106,DPP3,up
10073,0.22364159710710485,0.12896177486850458,SNUPN,ns
10075,-0.04453278299394903,0.7978070982638219,HUWE1,ns
10076,0.6737285985977408,0.005178255467813479,PTPRU,up
10077,-0.8871102512489024,0.010264616174430514,TSPAN32,down
10078,0.04033049138060285,0.8108700294799545,TSSC4,ns
10079,-0.39688754243329516,0.14965805551123873,ATP9A,ns
10081,-0.13530578540941463,0.48871710177972777,PDCD7,ns
100820829,-1.0383755332100328,0.030793958954388044,MYZAP,down
10084,0.05511545847045696,0.6613976694815158,PQBP1,ns
100861412,-0.30876714599253674,0.4700763158723571,FSBP,ns
100862671,-0.3739629971574159,0.08043246824265411,TMEM265,ns
10087,-0.1564777764785763,0.4480054284933349,CERT1,ns
100873985,-0.0016459249495248685,0.9925275253209892,MED14OS,ns
100885848,-0.1470792198002444,0.40636336530146416,PTGES3L,ns
10089,0.09763904051216699,0.8322381308950724,KCNK7,ns
10090,-1.0082856969868361,5.9178989117807796e-05,UST,down
100913187,2.101951469612856,0.0588594816674759,APOBEC3A_B,ns
10092,0.39709652985216337,0.06660497753306388,ARPC5,ns
10093,-0.1804120137141343,0.18399201052973793,ARPC4,ns
10094,-0.08552644906641937,0.648574205176612,ARPC3,ns
10095,-0.1950262624614254,0.38194484148360247,ARPC1B,ns
10096,0.28300357445814583,0.06927208832407067,ACTR3,ns
10097,-0.1879222519448902,0.40437837467686527,ACTR2,ns
10098,0.17373877162859674,0.39231087169931245,TSPAN5,ns
10099,-0.25899860276186715,0.16172998808443814,TSPAN3,ns
100996318,1.0387645335762583,0.038407942288983615,LOC100996318,up
100996485,-0.23430433375524995,0.3932826360512004,PITX1-AS1,ns
100996517,-0.1933609950000772,0.3695316816983852,SEC22B3P,ns
100996643,0.23870561815867752,0.2354253682171477,LOC100996643,ns
100996709,-0.482213165596165,0.062178628578003006,LOC100996709,ns
100996716,-0.6609379253084633,0.0005021567584074457,SEC22B2P,down
100996717,-0.51166973124697,0.047575564837095144,NOTCH2NLC,ns
100996720,-0.8963009791488723,0.006760515213651975,LOC100996720,down
100996746,-0.1881087789611664,0.4492899799674181,SPDYE11,ns
100996747,0.16322735251647646,0.4823280703261846,LOC100996747,ns
100996763,-0.6188349871561707,0.005358653949969736,NOTCH2NLB,down
100996842,0.27551610179530517,0.08669359315221155,MPDU1-AS1,ns
100996928,0.4126777486558968,0.5479826788795913,FMC1-LUC7L2,ns
100996939,-0.11542472317876573,0.45725242809228506,PYURF,ns
101,-0.7228294667977408,0.10874560739313728,ADAM8,ns
1010,-0.2648858342930085,0.026940890753002412,CDH12,ns
10100,-1.0808146767268942,0.004272034677535101,TSPAN2,down
10101,-0.023638353273188528,0.9065643992359205,NUBP2,ns
10102,0.5951763466614315,0.008626741666302909,TSFM,up
10105,0.03377407690805434,0.9543952669732932,PPIF,ns
101059918,-0.7890213167140674,0.017755747304331722,GOLGA8R,down
101059938,-0.45083838163109924,0.20407766304284966,NPIPA7,ns
101059953,-0.14090141259991906,0.665721923688455,NPIPA8,ns
10106,-0.7482398597136566,0.000717212235231076,CTDSP2,down
101060200,-0.15832476062075518,0.2810264099745256,ZNF891,ns
101060226,-0.4665873789256949,0.15400473696933747,NBPF19,ns
101060254,-0.22549593582753769,0.1690590982620286,PDE4DIPP5,ns
101060321,-0.26359324469955236,0.5020261264520416,TBC1D3G,ns
