0_names,0_logfoldchanges,0_pvals_adj,1_names,1_logfoldchanges,1_pvals_adj,2_names,2_logfoldchanges,2_pvals_adj,3_names,3_logfoldchanges,3_pvals_adj,4_names,4_logfoldchanges,4_pvals_adj,5_names,5_logfoldchanges,5_pvals_adj,6_names,6_logfoldchanges,6_pvals_adj,7_names,7_logfoldchanges,7_pvals_adj,8_names,8_logfoldchanges,8_pvals_adj,9_names,9_logfoldchanges,9_pvals_adj,10_names,10_logfoldchanges,10_pvals_adj,11_names,11_logfoldchanges,11_pvals_adj,12_names,12_logfoldchanges,12_pvals_adj
DNMT1,0.98723745,2.425367916814612e-33,TECR,0.8016986,1.5276157514105207e-46,ATOX1,0.5273646,7.668301669759839e-17,CDC6,1.4578731,3.731794412868707e-51,CFL1,0.6770881,1.2007824292803895e-08,HMGN2P41,1.198184,2.9650470876561825e-32,RPL36AL,0.6503621,4.078623126188841e-08,BUB1B,2.1278393,5.807841229963061e-49,HMGN3,0.7224654,1.1772711874407513e-18,SEC11C,1.186419,2.7849341956341227e-11,RPS16,1.3548851,1.309773492040706e-11,CTH,2.4428017,4.254460711311106e-57,TES,1.5986578,3.147682127218705e-41
H2AZ1,0.7649934,4.758070665525988e-33,AIG1,0.9964001,1.5560353166788397e-44,NEDD8,0.37485135,1.4388177799040104e-16,CHAF1B,2.0231576,1.1172260619954212e-50,ANKRD1,2.649357,1.854439833940035e-08,CHKA,0.8769313,4.664417472596141e-32,RPL29,0.38870212,5.416283163089692e-08,NUSAP1,1.713815,8.168592163222304e-49,GABARAP,0.6177272,1.784718662313994e-18,MT-ATP8,1.2323179,2.9937309704436057e-11,COX5B,1.7179184,1.3231934907114254e-11,RPS27,0.92842704,6.347166850126125e-56,FNTA,1.4982482,5.52153082649614e-41
CCNF,2.0002775,5.083972750347707e-33,ST3GAL2,1.2376738,6.072481354379787e-44,RPS17,0.42030206,1.5819037398414286e-16,C19orf48P,1.0517653,1.9954108094747183e-50,AKAP12,3.342035,1.854439833940035e-08,ARL5A,0.9757028,6.577964301893788e-32,LARP1,0.7364949,5.659981188008113e-08,AURKA,2.2458863,1.6952603628569764e-48,UBE2V2,0.7224808,1.784718662313994e-18,NUSAP1,1.7179581,3.2435329617741504e-11,TMEM258,2.0968418,1.3231934907114254e-11,SHMT2,1.3714604,7.930343311991542e-56,TARS1,1.4728878,2.2335374526230998e-40
TMEM106C,0.96755815,3.914604885039598e-32,SPINK1,1.2229795,1.042039150443642e-43,APOC1,0.48489353,2.413360140776694e-16,DTL,1.7588785,2.2232929655123927e-50,TUBB3,2.2861714,1.854439833940035e-08,SNHG16,0.82699126,7.788453026921781e-32,RAN,0.47191915,5.659981188008113e-08,CKS1B,0.8942677,1.6952603628569764e-48,HMGN1,0.57433987,1.851733153148632e-18,SPCS2,0.9972123,3.33149952125835e-11,FAU,1.6920308,1.3231934907114254e-11,DNAJB9,1.8500346,7.989058068481128e-56,PPIL4,1.6686829,9.622731687495654e-40
CENPM,1.1431961,2.390965643413871e-31,GOLM1,1.2258037,1.0680014714781308e-43,MT-TP,0.6322522,2.7939017645374015e-16,E2F1,1.8961337,2.57276497708759e-50,THBS1,2.4105623,2.5188257169666595e-08,PSMA1,0.6160226,1.0926961309699037e-31,RPL36,0.5754001,5.659981188008113e-08,OIP5,1.6280375,1.9874953612404906e-48,RPL7,0.5292822,9.526805778479773e-18,PLPP5,1.2165208,4.1306831787422807e-11,POLR2L,2.168235,1.3378651836094332e-11,FKBP2,1.2007736,1.0923373957713822e-54,IRAK2,2.820222,1.0040817745094966e-39
GTSE1,1.8307312,7.3833488804265645e-31,STARD10,1.7428776,1.512160829905495e-43,SCARNA22,0.6813659,3.991608788031377e-16,DSN1,1.469426,2.7042105745933377e-50,KLRK1-AS1,2.90287,2.5580530039390564e-08,GLO1,0.7683293,1.6482664227247736e-31,ZNF326,0.9523447,7.485354178552738e-08,CDCA3,2.0162842,1.0571563975339072e-47,RPL30,0.45720008,9.582018410263884e-18,KIF2C,1.9170327,5.0920461302081686e-11,APOC1,1.866341,1.3763378293975047e-11,SRPRB,1.1293664,2.6267119673095856e-53,BCL3,2.6727052,1.868067496242697e-39
SMC4,1.0869491,1.6321561262408037e-30,FMOD,2.3248281,2.7943588069780364e-43,CALD1,0.49697885,4.901341396325129e-16,GMNN,1.0584787,3.2312477245312673e-50,WDR1,1.2633052,2.5770292992499774e-08,MGST1,0.67472893,2.159416843142973e-31,MRPL51,0.51097107,9.974574454302852e-08,LBR,1.5327762,1.7786334501740479e-47,RPS24,0.55210406,1.4062480314467192e-17,RPS19,0.7674959,9.926180040367138e-11,RPL34,1.7439907,1.3763378293975047e-11,SNHG32,1.2562178,1.8066481429440662e-52,TANK,1.5615448,1.868067496242697e-39
DUT,1.1817956,6.518797487926687e-30,TSPAN3,0.8199152,7.723795504130832e-43,RPS19,0.43206966,5.187078464540378e-16,COCH,1.2893381,9.056180637803838e-50,CD59,1.4227109,2.5817408052752242e-08,RCN2,0.79633516,4.609602493626049e-31,RPS9,0.5751399,1.194278573215219e-07,RNF26,2.0650792,2.9289375598060514e-46,BTF3,0.5051294,2.3016112424615687e-17,NUCB2,1.2321295,1.9423857175291918e-10,RPS28,2.286046,1.3763378293975047e-11,RNF181,0.994811,6.085027215262844e-52,BHLHE40,2.5897489,3.943652770384433e-39
MALAT1,0.8673824,1.2345630794608233e-29,FKBP11,0.9301472,1.5749187596459327e-39,MT1F,1.1827163,6.61485943237451e-16,DNAJC9,1.2076308,1.1766905462313608e-49,MYL12B,0.6792939,2.5817408052752242e-08,MTND2P28,0.78057325,7.1556822365855325e-31,PHF19,1.1904367,1.2448046481045002e-07,CDCA8,2.1062756,2.283068056526728e-45,SUMO2,0.5489056,3.8437534995608007e-17,SEC61B,0.7255427,2.5524498666312584e-10,SNRPF,1.4189446,1.4444373591819213e-11,HYOU1,1.839763,6.235373968758999e-52,TSC22D1,1.5855538,4.0392669547984464e-39
UBE2I,0.80053926,1.2345630794608233e-29,TSPAN8,1.5773596,3.2482568929350526e-39,TRAPPC6A,0.6197177,8.393114220742876e-16,RAD51AP1,1.5998503,1.2598468670685715e-49,OPTN,1.7504444,3.092128820975011e-08,CAPRIN1,1.068308,9.535257602477812e-31,TUBB4B,0.9051306,1.3123271335239904e-07,SAPCD2,2.290758,2.9659067157581615e-45,EEF1B2,0.44835335,2.6174744834193426e-16,CKS1B,0.8639619,3.5621601868423445e-10,ANAPC11,1.5114145,1.4517908703529465e-11,WARS1,1.4654279,3.789962877366553e-51,COPE,0.773188,8.560023277222723e-39
