Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012,5/98,0.0006305308232341957,0.0050239068818982,0,0,7.872162485065711,58.00956006821428,DDIT3;ASNS;TRIB3;EIF2S2;ATF3
GO_Biological_Process_2021,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)",5/85,0.000327462712092965,0.0051917724535466,0,0,9.157407407407408,73.48028579217065,COPA;SCFD1;COPB1;GOLPH3L;COPE
Reactome_2022,Hh Mutants Abrogate Ligand Secretion R-HSA-5387390,4/58,0.0007279192381356964,0.0053352966250101,0,0,10.787581699346406,77.94373468582336,ERLEC1;SEL1L;SYVN1;DERL2
Reactome_2022,Late SARS-CoV-2 Infection Events R-HSA-9772573,4/58,0.0007279192381356964,0.0053352966250101,0,0,10.787581699346406,77.94373468582336,RPN2;RPN1;EDEM2;DDOST
Reactome_2022,Cellular Response To Starvation R-HSA-9711097,6/153,0.0007344133006086891,0.0053352966250101,0,0,6.004568991775815,43.33160349647879,DDIT3;SESN2;ASNS;TRIB3;EIF2S2;ATF3
GO_Biological_Process_2021,response to glucose (GO:0009749),4/49,0.000381630288541488,0.0058382738878627,0,0,12.950980392156865,101.93792104899434,ERN1;XBP1;SELENOS;PCK2
GO_Biological_Process_2021,response to unfolded protein (GO:0006986),4/49,0.000381630288541488,0.0058382738878627,0,0,12.950980392156865,101.93792104899434,ERN1;ERP44;DDIT3;HERPUD1
GO_Biological_Process_2021,amino acid transport (GO:0006865),4/50,0.00041257834886764656,0.0062029020726308,0,0,12.668797953964194,98.72901212716263,SLC1A4;SLC3A2;SLC7A11;SLC7A1
GO_Biological_Process_2021,protein deglycosylation involved in glycoprotein catabolic process (GO:0035977),2/5,0.0004798305111429592,0.0067485839631719,0,0,95.92753623188406,733.0856776070341,EDEM1;EDEM2
GO_Biological_Process_2021,ubiquitin-dependent glycoprotein ERAD pathway (GO:0097466),2/5,0.0004798305111429592,0.0067485839631719,0,0,95.92753623188406,733.0856776070341,EDEM1;EDEM2
GO_Biological_Process_2021,"SRP-dependent cotranslational protein targeting to membrane, translocation (GO:0006616)",2/5,0.0004798305111429592,0.0067485839631719,0,0,95.92753623188406,733.0856776070341,SEC61A1;SRP54
GO_Biological_Process_2021,mannose trimming involved in glycoprotein ERAD pathway (GO:1904382),2/5,0.0004798305111429592,0.0067485839631719,0,0,95.92753623188406,733.0856776070341,EDEM1;EDEM2
Reactome_2022,Hedgehog Ligand Biogenesis R-HSA-5358346,4/64,0.0010553900369557,0.007241148309113,0,0,9.705882352941176,66.52261204245988,ERLEC1;SEL1L;SYVN1;DERL2
Reactome_2022,Membrane Trafficking R-HSA-199991,12/599,0.0010459383363886,0.007241148309113,0,0,3.0780983816013627,21.12449936560633,COPA;SCFD1;SAR1B;COPB1;GOLGB1;USO1;PREB;ACBD3;SEC24D;RAB5A;COPE;BET1
