symbol,rho_DENV,padj_DENV,rho_ZIKV,padj_ZIKV,direction,mean_abs_rho,in_DE_core
TRIP13,-0.2615749365349472,1.5603757931363364e-14,-0.3424355163933249,2.2629936431445637e-12,down_with_progression,0.3020052264641361,False
GOLT1B,0.2632246784082033,1.0275791254396687e-14,0.3395704407817832,3.634194355084182e-12,up_with_progression,0.30139755959499326,False
RSL24D1,0.3882373993409709,1.3319962650133484e-32,0.21439968051535602,3.2521003837008825e-05,up_with_progression,0.3013185399281635,False
MAP2K3,-0.32660965773634193,1.0045053844121535e-22,-0.27557237072710866,3.820515793161867e-08,down_with_progression,0.3010910142317253,False
VAPA,0.24639276629799334,6.096855351211877e-13,0.35484598318689714,2.756732210778012e-13,up_with_progression,0.30061937474244527,False
PPIA,-0.21376890568772206,6.889296305039409e-10,-0.38701413848262955,7.558588008297076e-16,down_with_progression,0.30039152208517583,False
MED10,0.2742919719352812,5.866314431813838e-16,0.3263699625183971,3.082805174242669e-11,up_with_progression,0.30033096722683916,False
YWHAQ,-0.32620306423742795,1.148544567596302e-22,-0.2735316679265203,4.958047782879854e-08,down_with_progression,0.2998673660819741,False
CCNB1IP1,0.20432173481629853,4.318990044935089e-09,0.3944752799584887,1.7394845831995206e-16,up_with_progression,0.2993985073873936,False
CTSC,-0.2987019023263092,6.355311095687611e-19,-0.29987795644451515,1.498079969130682e-09,down_with_progression,0.2992899293854122,False
INHBE,0.3020520261708637,2.335487955410987e-19,0.29641533143000826,2.4222763400178405e-09,up_with_progression,0.29923367880043594,False
RAB2A,0.3635112052947866,2.3658995026626845e-28,0.23467313089796082,4.313794244221575e-06,up_with_progression,0.29909216809637373,False
NFXL1,0.23045454884298563,2.1626184692241826e-11,0.36759266195836743,2.97076195738958e-14,up_with_progression,0.2990236054006765,False
NES,-0.2300260100120476,2.3782424964822482e-11,-0.3674509810391919,3.0450610904407757e-14,down_with_progression,0.2987384955256197,False
TARDBP,-0.2279322526098464,3.74642769789226e-11,-0.36772183820630744,2.905199964576854e-14,down_with_progression,0.2978270454080769,False
APOH,-0.22980553920568195,2.4938408480520606e-11,-0.363075005885936,6.577070726501875e-14,down_with_progression,0.29644027254580896,False
CTSA,-0.2813394251121156,8.665887920661789e-17,-0.31132390934648635,2.912183635825474e-10,down_with_progression,0.296331667229301,False
NQO1,-0.32827516151793446,5.837555577353322e-23,-0.2642236375218919,1.5487304357479154e-07,down_with_progression,0.29624939951991314,False
